날짜,원/미국달러,기준금리,dubai,총지수
2022-08-24,1341.8,2.25,98.39,108.63
2022-08-25,1341.4,2.5,96.74,108.63
2022-08-26,1336.9,2.5,97.95,108.63
2022-08-27,1336.9,2.5,97.95,108.63
2022-08-28,1336.9,2.5,97.95,108.63
2022-08-29,1332.5,2.5,101.86,108.63
2022-08-30,1347.7,2.5,96.48,108.63
2022-08-31,1347.5,2.5,94.77,108.63
2022-09-01,1345.1,2.5,92.08,108.82
2022-09-02,1351.4,2.5,92.6,108.82
2022-09-03,1351.4,2.5,92.6,108.82
2022-09-04,1351.4,2.5,92.6,108.82
2022-09-05,1356.5,2.5,92.6,108.82
2022-09-06,1369.7,2.5,93.13,108.82
2022-09-07,1370.3,2.5,89.36,108.82
2022-09-08,1385.3,2.5,90.17,108.82
2022-09-09,1385.3,2.5,92.78,108.82
2022-09-10,1385.3,2.5,92.78,108.82
2022-09-11,1385.3,2.5,92.78,108.82
2022-09-12,1385.3,2.5,93.36,108.82
2022-09-13,1381.2,2.5,92.51,108.82
2022-09-14,1374.8,2.5,93.35,108.82
2022-09-15,1391.7,2.5,91.98,108.82
2022-09-16,1394.2,2.5,92.26,108.82
2022-09-17,1394.2,2.5,92.26,108.82
2022-09-18,1394.2,2.5,92.26,108.82
2022-09-19,1394.2,2.5,92.46,108.82
2022-09-20,1390.1,2.5,91.9,108.82
2022-09-21,1389.1,2.5,91.81,108.82
2022-09-22,1393.6,2.5,92.18,108.82
2022-09-23,1408.0,2.5,84.17,108.82
2022-09-24,1408.0,2.5,84.17,108.82
2022-09-25,1408.0,2.5,84.17,108.82
2022-09-26,1408.4,2.5,81.93,108.82
2022-09-27,1429.7,2.5,83.63,108.82
2022-09-28,1427.2,2.5,86.7,108.82
2022-09-29,1436.5,2.5,86.16,108.82
2022-09-30,1434.8,2.5,84.28,108.82
2022-10-01,1434.8,2.5,84.28,109.16
2022-10-02,1434.8,2.5,84.28,109.16
2022-10-03,1434.8,2.5,88.03,109.16
2022-10-04,1432.1,2.5,90.9,109.16
2022-10-05,1431.2,2.5,92.12,109.16
2022-10-06,1419.1,2.5,92.98,109.16
2022-10-07,1404.2,2.5,95.8,109.16
2022-10-08,1404.2,2.5,95.8,109.16
2022-10-09,1404.2,2.5,95.8,109.16
2022-10-10,1404.2,2.5,94.42,109.16
2022-10-11,1410.3,2.5,92.93,109.16
2022-10-12,1433.5,3.0,91.58,109.16
2022-10-13,1430.4,3.0,92.42,109.16
2022-10-14,1427.0,3.0,90.78,109.16
2022-10-15,1427.0,3.0,90.78,109.16
2022-10-16,1427.0,3.0,90.78,109.16
2022-10-17,1428.9,3.0,90.71,109.16
2022-10-18,1436.6,3.0,89.92,109.16
2022-10-19,1425.6,3.0,90.53,109.16
2022-10-20,1420.6,3.0,90.54,109.16
2022-10-21,1431.7,3.0,90.95,109.16
2022-10-22,1431.7,3.0,90.95,109.16
2022-10-23,1431.7,3.0,90.95,109.16
2022-10-24,1436.6,3.0,88.53,109.16
2022-10-25,1436.6,3.0,88.88,109.16
2022-10-26,1436.5,3.0,90.92,109.16
2022-10-27,1428.2,3.0,91.96,109.16
2022-10-28,1418.1,3.0,90.23,109.16
2022-10-29,1418.1,3.0,90.23,109.16
2022-10-30,1418.1,3.0,90.23,109.16
2022-10-31,1419.3,3.0,89.43,109.16
2022-11-01,1422.2,3.0,91.22,109.07
2022-11-02,1421.7,3.0,91.87,109.07
2022-11-03,1418.0,3.0,89.5,109.07
2022-11-04,1422.1,3.0,93.63,109.07
2022-11-05,1422.1,3.0,93.63,109.07
2022-11-06,1422.1,3.0,93.63,109.07
2022-11-07,1422.4,3.0,92.69,109.07
2022-11-08,1406.5,3.0,90.62,109.07
2022-11-09,1387.3,3.0,88.8,109.07
2022-11-10,1368.3,3.0,89.36,109.07
2022-11-11,1370.1,3.0,91.11,109.07
2022-11-12,1370.1,3.0,91.11,109.07
2022-11-13,1370.1,3.0,91.11,109.07
2022-11-14,1334.1,3.0,89.5,109.07
2022-11-15,1320.3,3.0,89.44,109.07
2022-11-16,1322.4,3.0,88.94,109.07
2022-11-17,1325.6,3.0,87.59,109.07
2022-11-18,1338.4,3.0,86.86,109.07
2022-11-19,1338.4,3.0,86.86,109.07
2022-11-20,1338.4,3.0,86.86,109.07
2022-11-21,1340.0,3.0,86.62,109.07
2022-11-22,1352.3,3.0,86.6,109.07
2022-11-23,1355.7,3.0,77.62,109.07
2022-11-24,1352.3,3.25,77.62,109.07
2022-11-25,1333.2,3.25,76.19,109.07
2022-11-26,1333.2,3.25,76.19,109.07
2022-11-27,1333.2,3.25,76.19,109.07
2022-11-28,1326.8,3.25,76.93,109.07
