날짜          총지수
2023-11-08   112.68
2023-11-09   112.68
2023-11-10   112.68
2023-11-11   112.68
2023-11-12   112.68
2023-11-13   112.68
2023-11-14   112.68
2023-11-15   112.68
2023-11-16   112.68
2023-11-17   112.68
2023-11-18   112.68
2023-11-19   112.68
2023-11-20   112.68
2023-11-21   112.68
2023-11-22   112.68
2023-11-23   112.68
2023-11-24   112.68
2023-11-25   112.68
2023-11-26   112.68
2023-11-27   112.68
2023-11-28   112.68
2023-11-29   112.68
2023-11-30   112.68
2023-12-01   112.73
2023-12-02   112.73
2023-12-03   112.73
2023-12-04   112.73
2023-12-05   112.73
2023-12-06   112.73
2023-12-07   112.73
2023-12-08   112.73
2023-12-09   112.73
2023-12-10   112.73
2023-12-11   112.73
2023-12-12   112.73
2023-12-13   112.73
2023-12-14   112.73
2023-12-15   112.73
2023-12-16   112.73
2023-12-17   112.73
2023-12-18   112.73
2023-12-19   112.73
2023-12-20   112.73
2023-12-21   112.73
2023-12-22   112.73
2023-12-23   112.73
2023-12-24   112.73
2023-12-25   112.73
2023-12-26   112.73
2023-12-27   112.73
2023-12-28   112.73
2023-12-29   112.73
2023-12-30   112.73
2023-12-31   112.73
2024-01-01   113.17
2024-01-02   113.17
2024-01-03   113.17
2024-01-04   113.17
2024-01-05   113.17
2024-01-06   113.17
2024-01-07   113.17
2024-01-08   113.17
2024-01-09   113.17
2024-01-10   113.17
2024-01-11   113.17
2024-01-12   113.17
2024-01-13   113.17
2024-01-14   113.17
2024-01-15   113.17
2024-01-16   113.17
2024-01-17   113.17
2024-01-18   113.17
2024-01-19   113.17
2024-01-20   113.17
2024-01-21   113.17
2024-01-22   113.17
2024-01-23   113.17
2024-01-24   113.17
2024-01-25   113.17
2024-01-26   113.17
2024-01-27   113.17
2024-01-28   113.17
2024-01-29   113.17
2024-01-30   113.17
2024-01-31   113.17
2024-02-01   113.78
2024-02-02   113.78
2024-02-03   113.78
2024-02-04   113.78
2024-02-05   113.78
2024-02-06   113.78
